date,lastvalue,difference,diffrate,startvalue,highvalue,lowvalue,volume
15.Apr.98,"1,863.26",20.23,1.10,"1,852.89","1,866.92","1,852.89","901,950,000"
16.Apr.98,"1,858.24",-5.02,-0.27,"1,857.27","1,863.34","1,849.10","854,830,000"
17.Apr.98,"1,866.60",8.36,0.45,"1,854.50","1,866.83","1,849.58","811,930,000"
20.Apr.98,"1,887.14",20.54,1.10,"1,869.01","1,888.00","1,869.01","808,730,000"
21.Apr.98,"1,903.87",16.73,0.89,"1,894.99","1,904.18","1,882.70","938,570,000"
22.Apr.98,"1,917.61",13.74,0.72,"1,907.46","1,931.83","1,907.46","1,026,050,000"
23.Apr.98,"1,881.39",-36.22,-1.89,"1,913.14","1,913.14","1,880.17","891,510,000"
24.Apr.98,"1,868.96",-12.43,-0.66,"1,878.57","1,891.73","1,860.26","806,250,000"
27.Apr.98,"1,820.31",-48.65,-2.60,"1,868.96","1,868.96","1,804.14","796,370,000"
28.Apr.98,"1,831.77",11.46,0.63,"1,842.49","1,848.89","1,820.30","782,220,000"
29.Apr.98,"1,851.64",19.87,1.08,"1,837.17","1,854.23","1,837.17","792,740,000"
30.Apr.98,"1,868.41",16.77,0.91,"1,868.12","1,874.46","1,868.12","842,050,000"
1.May.98,"1,873.44",5.03,0.27,"1,871.81","1,875.52","1,864.44","774,600,000"
